State,Year,Quater,Insurance_count,Insurance_amount
chhattisgarh,2021,4,6029,8229039.0
chhattisgarh,2022,1,6612,10139190.0
chhattisgarh,2022,2,7008,10119964.0
chhattisgarh,2022,3,8849,12119470.0
chhattisgarh,2022,4,11994,18137856.0
chhattisgarh,2023,1,10460,16577191.0
chhattisgarh,2023,2,10514,16389610.0
chhattisgarh,2023,3,11927,17838382.0
chhattisgarh,2023,4,17300,29704673.0
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,651,101029.0
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,257,65504.0
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,232,149513.0
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,467,285691.0
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,368,275638.0
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,360,273596.0
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,421,425384.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,493,720741.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,438,686857.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,707,983776.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,871,1272628.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,799,1215168.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,694,1058753.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,969,1333103.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,4,1207,1973867.0
delhi,2020,2,11716,1897480.0
delhi,2020,3,7588,1927285.0
delhi,2020,4,9725,8045442.0
delhi,2021,1,12822,9655261.0
delhi,2021,2,13292,10840929.0
delhi,2021,3,16679,15007079.0
delhi,2021,4,34251,36578331.0
delhi,2022,1,28232,35442069.0
delhi,2022,2,26378,31787281.0
delhi,2022,3,35944,41570160.0
delhi,2022,4,48908,60603173.0
delhi,2023,1,45821,61040038.0
delhi,2023,2,41358,54951108.0
delhi,2023,3,47113,58878500.0
delhi,2023,4,56336,77332401.0
goa,2020,2,341,71100.0
goa,2020,3,683,196864.0
goa,2020,4,614,682364.0
goa,2021,1,879,827384.0
goa,2021,2,1016,1028339.0
goa,2021,3,1214,1385986.0
goa,2021,4,2087,2737316.0
goa,2022,1,2634,3865245.0
goa,2022,2,3524,5093510.0
goa,2022,3,3157,4142108.0
goa,2022,4,4388,6190669.0
goa,2023,1,4097,5859549.0
goa,2023,2,4166,5930801.0
goa,2023,3,3927,5646054.0
goa,2023,4,4883,7411001.0
gujarat,2020,2,7697,1430591.0
gujarat,2020,3,12525,3335812.0
gujarat,2020,4,9990,6055037.0
gujarat,2021,1,12673,7288104.0
gujarat,2021,2,14676,10263998.0
gujarat,2021,3,15348,12341903.0
gujarat,2021,4,19142,23282921.0
gujarat,2022,1,22221,29953433.0
gujarat,2022,2,25381,32090965.0
gujarat,2022,3,31302,37557227.0
gujarat,2022,4,36418,50629325.0
gujarat,2023,1,32600,46937694.0
gujarat,2023,2,32484,46254095.0
gujarat,2023,3,51049,65768085.0
gujarat,2023,4,41128,66735446.0
haryana,2020,2,6321,1179814.0
haryana,2020,3,7139,1884868.0
haryana,2020,4,8283,5974278.0
haryana,2021,1,11038,7297880.0
haryana,2021,2,12516,11272453.0
haryana,2021,3,14163,13215898.0
haryana,2021,4,19489,25885838.0
haryana,2022,1,22783,32526943.0
haryana,2022,2,25352,33759068.0
haryana,2022,3,35346,45402800.0
haryana,2022,4,37971,56627115.0
haryana,2023,1,37287,61127194.0
haryana,2023,2,40710,62186066.0
haryana,2023,3,42815,61782311.0
haryana,2023,4,47506,80747159.0
himachal-pradesh,2020,2,392,77936.0
himachal-pradesh,2020,3,531,165559.0
himachal-pradesh,2020,4,710,630966.0
himachal-pradesh,2021,1,1064,906492.0
himachal-pradesh,2021,2,1210,1402338.0
himachal-pradesh,2021,3,1759,2444545.0
himachal-pradesh,2021,4,2474,4667661.0
himachal-pradesh,2022,1,2768,5234739.0
himachal-pradesh,2022,2,2831,5371078.0
himachal-pradesh,2022,3,3641,6161692.0
himachal-pradesh,2022,4,4565,9060436.0
himachal-pradesh,2023,1,3909,7826133.0
himachal-pradesh,2023,2,4197,8499425.0
himachal-pradesh,2023,3,3935,7869767.0
himachal-pradesh,2023,4,5211,11898824.0
jammu-&-kashmir,2020,2,206,48484.0
jammu-&-kashmir,2020,3,441,133339.0
jammu-&-kashmir,2020,4,647,734861.0
jammu-&-kashmir,2021,1,1105,1546288.0
jammu-&-kashmir,2021,2,1197,1832089.0
jammu-&-kashmir,2021,3,1452,2139133.0
jammu-&-kashmir,2021,4,3113,5223317.0
jammu-&-kashmir,2022,1,3584,7244267.0
jammu-&-kashmir,2022,2,4071,7729792.0
jammu-&-kashmir,2022,3,4794,8281826.0
jammu-&-kashmir,2022,4,5031,10111183.0
jammu-&-kashmir,2023,1,4555,10275877.0
jammu-&-kashmir,2023,2,5262,10974839.0
jammu-&-kashmir,2023,3,5453,10975874.0
jammu-&-kashmir,2023,4,6264,13932309.0
jharkhand,2020,2,2063,405031.0
jharkhand,2020,3,5368,1349934.0
jharkhand,2020,4,3659,2857024.0
jharkhand,2021,1,4879,3274851.0
jharkhand,2021,2,5180,5084230.0
jharkhand,2021,3,6794,7046048.0
jharkhand,2021,4,8465,11190423.0
jharkhand,2022,1,9373,13819466.0
jharkhand,2022,2,9477,13464840.0
jharkhand,2022,3,14388,18156857.0
jharkhand,2022,4,16779,23147805.0
jharkhand,2023,1,16108,23823406.0
jharkhand,2023,2,16662,23216215.0
jharkhand,2023,3,19478,25165702.0
jharkhand,2023,4,22398,33484644.0
karnataka,2020,2,27358,4794150.0
karnataka,2020,3,53701,12407394.0
karnataka,2020,4,31747,26814968.0
karnataka,2021,1,37595,30183325.0
karnataka,2021,2,40969,39501006.0
karnataka,2021,3,47468,48078366.0
karnataka,2021,4,74436,90723288.0
karnataka,2022,1,95640,130733580.0
karnataka,2022,2,93385,123228632.0
karnataka,2022,3,110273,144605784.0
karnataka,2022,4,133971,185063287.0
karnataka,2023,1,127376,186543426.0
karnataka,2023,2,117232,175704013.0
karnataka,2023,3,139699,199448538.0
karnataka,2023,4,156076,248056311.0
kerala,2020,2,1588,360216.0
kerala,2020,3,8811,2830361.0
kerala,2020,4,5479,4445525.0
kerala,2021,1,5731,5040506.0
kerala,2021,2,9530,9676588.0
kerala,2021,3,10926,13255646.0
kerala,2021,4,19199,31260319.0
kerala,2022,1,37110,64172190.0
kerala,2022,2,35667,59920203.0
kerala,2022,3,54587,85390924.0
kerala,2022,4,65563,103982997.0
kerala,2023,1,62377,101786828.0
kerala,2023,2,61032,100620604.0
kerala,2023,3,66059,110021582.0
kerala,2023,4,73543,121905046.0
ladakh,2020,2,14,2538.0
ladakh,2020,3,33,10260.0
ladakh,2020,4,27,34206.0
ladakh,2021,1,32,34530.0
ladakh,2021,2,46,86251.0
ladakh,2021,3,192,174052.0
ladakh,2021,4,76,195966.0
ladakh,2022,1,75,193935.0
ladakh,2022,2,113,269446.0
ladakh,2022,3,137,369742.0
ladakh,2022,4,162,410091.0
ladakh,2023,1,161,495736.0
ladakh,2023,2,215,635831.0
ladakh,2023,3,232,649027.0
ladakh,2023,4,242,718967.0
lakshadweep,2020,3,4,1199.0
lakshadweep,2021,1,4,5225.0
lakshadweep,2021,2,5,6962.0
lakshadweep,2021,3,19,16034.0
lakshadweep,2021,4,11,17096.0
lakshadweep,2022,1,27,34664.0
lakshadweep,2022,2,18,27463.0
lakshadweep,2022,3,38,41504.0
lakshadweep,2022,4,15,27135.0
lakshadweep,2023,1,26,30199.0
lakshadweep,2023,2,15,38384.0
lakshadweep,2023,3,12,12407.0
lakshadweep,2023,4,53,78346.0
madhya-pradesh,2020,2,6283,1198701.0
madhya-pradesh,2020,3,14476,3496126.0
madhya-pradesh,2020,4,10653,4897124.0
madhya-pradesh,2021,1,14427,5567927.0
madhya-pradesh,2021,2,14803,9787391.0
madhya-pradesh,2021,3,11990,7806258.0
madhya-pradesh,2021,4,15069,17524432.0
madhya-pradesh,2022,1,13791,19901462.0
madhya-pradesh,2022,2,14629,20159098.0
madhya-pradesh,2022,3,22733,29185118.0
madhya-pradesh,2022,4,29234,42712883.0
madhya-pradesh,2023,1,26393,45135679.0
madhya-pradesh,2023,2,27027,44871764.0
madhya-pradesh,2023,3,29300,46963348.0
madhya-pradesh,2023,4,40784,73801070.0
maharashtra,2020,2,39836,6879717.0
maharashtra,2020,3,71662,19230156.0
maharashtra,2020,4,44798,27113814.0
maharashtra,2021,1,55792,33137753.0
maharashtra,2021,2,70381,46763103.0
maharashtra,2021,3,52268,41313307.0
maharashtra,2021,4,82423,93262227.0
maharashtra,2022,1,88015,117411928.0
maharashtra,2022,2,80935,104603934.0
maharashtra,2022,3,90958,113835208.0
maharashtra,2022,4,125900,174915648.0
maharashtra,2023,1,112174,166596248.0
maharashtra,2023,2,102754,157303399.0
maharashtra,2023,3,104872,151171882.0
maharashtra,2023,4,136968,217657114.0
manipur,2020,2,55,12554.0
manipur,2020,3,134,45164.0
manipur,2020,4,90,49057.0
manipur,2021,1,136,72254.0
manipur,2021,2,127,81332.0
manipur,2021,3,111,133016.0
manipur,2021,4,145,271789.0
manipur,2022,1,177,517854.0
manipur,2022,2,218,553649.0
manipur,2022,3,200,403213.0
manipur,2022,4,271,620655.0
manipur,2023,1,222,632084.0
manipur,2023,2,123,341671.0
manipur,2023,3,76,193021.0
manipur,2023,4,225,476626.0
meghalaya,2020,2,41,8829.0
meghalaya,2020,3,112,33615.0
meghalaya,2020,4,92,71029.0
meghalaya,2021,1,107,128776.0
meghalaya,2021,2,139,148434.0
meghalaya,2021,3,139,214554.0
meghalaya,2021,4,263,451612.0
meghalaya,2022,1,337,729211.0
meghalaya,2022,2,379,789094.0
meghalaya,2022,3,600,1039491.0
meghalaya,2022,4,627,1189529.0
meghalaya,2023,1,562,1187523.0
meghalaya,2023,2,730,1551577.0
meghalaya,2023,3,809,1728076.0
meghalaya,2023,4,806,1843364.0
mizoram,2020,2,31,7322.0
mizoram,2020,3,74,24691.0
mizoram,2020,4,81,119124.0
mizoram,2021,1,415,302841.0
mizoram,2021,2,187,124805.0
mizoram,2021,3,81,83641.0
mizoram,2021,4,100,175847.0
mizoram,2022,1,85,189428.0
mizoram,2022,2,76,115090.0
mizoram,2022,3,310,471306.0
mizoram,2022,4,350,612551.0
mizoram,2023,1,171,326688.0
mizoram,2023,2,119,232928.0
mizoram,2023,3,166,271799.0
mizoram,2023,4,312,557950.0
nagaland,2020,2,41,9791.0
nagaland,2020,3,89,20798.0
nagaland,2020,4,62,38836.0
nagaland,2021,1,79,42973.0
nagaland,2021,2,85,139479.0
nagaland,2021,3,91,123643.0
nagaland,2021,4,183,341424.0
nagaland,2022,1,242,529223.0
nagaland,2022,2,186,380878.0
nagaland,2022,3,210,439669.0
nagaland,2022,4,367,700864.0
nagaland,2023,1,320,704957.0
nagaland,2023,2,269,628890.0
nagaland,2023,3,268,632287.0
nagaland,2023,4,331,822973.0
odisha,2020,2,2981,615193.0
odisha,2020,3,10955,2640191.0
odisha,2020,4,7526,4208701.0
odisha,2021,1,8236,4383330.0
odisha,2021,2,7942,5832924.0
odisha,2021,3,7967,6008686.0
odisha,2021,4,9093,10941626.0
odisha,2022,1,9627,14539309.0
odisha,2022,2,12371,16631095.0
odisha,2022,3,18898,23308531.0
odisha,2022,4,24538,33565401.0
odisha,2023,1,18899,29360555.0
odisha,2023,2,22163,31307110.0
odisha,2023,3,20263,29008350.0
odisha,2023,4,25065,39753392.0
puducherry,2020,2,112,22251.0
puducherry,2020,3,191,58399.0
puducherry,2020,4,234,197955.0
puducherry,2021,1,372,351827.0
puducherry,2021,2,526,508277.0
puducherry,2021,3,561,556442.0
puducherry,2021,4,786,946607.0
puducherry,2022,1,1199,1663404.0
puducherry,2022,2,1156,1597786.0
puducherry,2022,3,1585,2025529.0
puducherry,2022,4,2331,2693130.0
puducherry,2023,1,1955,2593091.0
puducherry,2023,2,1809,2614006.0
puducherry,2023,3,2232,2891647.0
puducherry,2023,4,2447,3419395.0
punjab,2020,2,2036,399452.0
punjab,2020,3,2488,684753.0
punjab,2020,4,2451,1884291.0
punjab,2021,1,3783,2558380.0
punjab,2021,2,4047,3768919.0
punjab,2021,3,4887,5271559.0
punjab,2021,4,6638,9912828.0
punjab,2022,1,7475,13155682.0
punjab,2022,2,9175,15465367.0
punjab,2022,3,12370,19381895.0
punjab,2022,4,12187,21727831.0
punjab,2023,1,10816,23330966.0
punjab,2023,2,13187,24998175.0
punjab,2023,3,14048,24461488.0
punjab,2023,4,13777,28715828.0
rajasthan,2020,2,5373,1095933.0
rajasthan,2020,3,15235,3758527.0
rajasthan,2020,4,12509,6471573.0
rajasthan,2021,1,17800,8074225.0
rajasthan,2021,2,18281,14357445.0
rajasthan,2021,3,16643,12793862.0
rajasthan,2021,4,19375,24455262.0
rajasthan,2022,1,21517,31576932.0
rajasthan,2022,2,24333,33748931.0
rajasthan,2022,3,33975,45565544.0
rajasthan,2022,4,40926,60792838.0
rajasthan,2023,1,34415,61441050.0
rajasthan,2023,2,37170,61301449.0
rajasthan,2023,3,39960,64328784.0
rajasthan,2023,4,49741,94701652.0
sikkim,2020,2,21,4789.0
sikkim,2020,3,94,28000.0
sikkim,2020,4,67,70214.0
sikkim,2021,1,122,111777.0
sikkim,2021,2,93,122064.0
sikkim,2021,3,106,140552.0
sikkim,2021,4,195,503532.0
sikkim,2022,1,239,685987.0
sikkim,2022,2,160,383709.0
sikkim,2022,3,243,474940.0
sikkim,2022,4,306,667214.0
sikkim,2023,1,260,688605.0
sikkim,2023,2,270,628191.0
sikkim,2023,3,251,698251.0
sikkim,2023,4,324,793745.0
tamil-nadu,2020,2,5473,1075552.0
tamil-nadu,2020,3,8026,2257373.0
tamil-nadu,2020,4,10290,8993575.0
tamil-nadu,2021,1,14406,11180849.0
tamil-nadu,2021,2,17682,16444344.0
tamil-nadu,2021,3,23107,23402918.0
tamil-nadu,2021,4,33037,42184290.0
tamil-nadu,2022,1,47621,64969045.0
tamil-nadu,2022,2,46714,61835120.0
tamil-nadu,2022,3,64356,79747520.0
tamil-nadu,2022,4,125491,146457790.0
tamil-nadu,2023,1,90690,116710222.0
tamil-nadu,2023,2,79698,105328191.0
tamil-nadu,2023,3,91069,114625593.0
tamil-nadu,2023,4,104871,139433796.0
telangana,2020,2,19003,3419453.0
telangana,2020,3,34395,8406543.0
telangana,2020,4,20961,11339099.0
telangana,2021,1,28298,14810947.0
telangana,2021,2,28870,20935651.0
telangana,2021,3,27080,20925217.0
telangana,2021,4,34848,38845492.0
telangana,2022,1,36325,51942016.0
telangana,2022,2,45600,58056956.0
telangana,2022,3,51465,64798126.0
telangana,2022,4,64655,88544127.0
telangana,2023,1,54508,82678207.0
telangana,2023,2,55118,79238968.0
telangana,2023,3,61523,84397465.0
telangana,2023,4,63993,105605522.0
tripura,2020,2,88,22054.0
tripura,2020,3,249,61642.0
tripura,2020,4,244,149765.0
tripura,2021,1,360,191531.0
tripura,2021,2,381,409934.0
tripura,2021,3,494,649961.0
tripura,2021,4,702,1022508.0
tripura,2022,1,907,1493401.0
tripura,2022,2,1021,1509105.0
tripura,2022,3,1590,2105984.0
tripura,2022,4,1508,2112534.0
tripura,2023,1,1642,2404958.0
tripura,2023,2,1563,2163813.0
tripura,2023,3,2071,2899393.0
tripura,2023,4,2237,3169741.0
uttar-pradesh,2020,2,9884,1912266.0
uttar-pradesh,2020,3,18131,4436969.0
uttar-pradesh,2020,4,17470,14180417.0
uttar-pradesh,2021,1,24103,18027573.0
uttar-pradesh,2021,2,25952,25137571.0
uttar-pradesh,2021,3,32799,32641118.0
uttar-pradesh,2021,4,44132,59654951.0
uttar-pradesh,2022,1,45996,73014969.0
uttar-pradesh,2022,2,55133,77434953.0
uttar-pradesh,2022,3,64514,87703512.0
uttar-pradesh,2022,4,77022,116755813.0
uttar-pradesh,2023,1,73080,127110494.0
uttar-pradesh,2023,2,74194,122522457.0
uttar-pradesh,2023,3,78940,121483170.0
uttar-pradesh,2023,4,92125,165509877.0
uttarakhand,2020,2,660,134899.0
uttarakhand,2020,3,1403,418543.0
uttarakhand,2020,4,1756,1961891.0
uttarakhand,2021,1,2607,2719327.0
uttarakhand,2021,2,2742,3265717.0
uttarakhand,2021,3,4111,4646571.0
uttarakhand,2021,4,5529,7849020.0
uttarakhand,2022,1,5339,8824948.0
uttarakhand,2022,2,5773,9168313.0
uttarakhand,2022,3,6784,10070172.0
uttarakhand,2022,4,8750,13817747.0
uttarakhand,2023,1,7552,13599026.0
uttarakhand,2023,2,8051,14034915.0
uttarakhand,2023,3,7856,12636749.0
uttarakhand,2023,4,10040,19045152.0
west-bengal,2020,2,7619,1432764.0
west-bengal,2020,3,12596,2878482.0
west-bengal,2020,4,10233,7510455.0
west-bengal,2021,1,15488,11172042.0
west-bengal,2021,2,15200,12396029.0
west-bengal,2021,3,24839,21424337.0
west-bengal,2021,4,26320,31282871.0
west-bengal,2022,1,38779,51160527.0
west-bengal,2022,2,33542,41737021.0
west-bengal,2022,3,47853,59092307.0
west-bengal,2022,4,54277,70466433.0
west-bengal,2023,1,56833,77461732.0
west-bengal,2023,2,49792,65204280.0
west-bengal,2023,3,58131,76359312.0
west-bengal,2023,4,72712,100365562.0
